breach_date	breach_is_sensitive	total_number_of_affected_accounts
2020-07-30	False	1107789
2020-03-04	False	68693853
2012-06-11	False	339487
2016-09-10	False	5081689
2019-02-28	False	3670561
2018-06-25	False	30484
2021-03-08	False	465141
2021-03-08	True	11788
2012-05-05	False	164611595
2021-04-08	False	130921846
2016-02-21	False	144989
2020-08-29	False	269552
2015-01-16	False	13451
2012-08-24	False	1074948
2013-08-01	False	2066627
2019-04-01	False	15453048
2017-12-21	False	109202
2016-07-03	False	326714
2015-10-31	False	93992
2014-09-10	False	16630988
2015-11-15	False	269548
2017-07-27	False	735405
2014-11-15	False	111623
2014-06-09	False	855249
2021-03-22	False	2987329
2018-12-11	False	205242
2020-06-01	False	1414677
2017-03-14	False	2257930
2019-08-20	False	89388
2020-01-13	False	25692862
2016-10-27	False	119948
2016-08-30	False	845012
2020-01-26	True	1422717
2020-01-26	False	777769
2019-07-25	False	3081321
2019-03-18	False	28364826
2015-05-24	False	16034
2016-01-15	False	71081
2015-06-28	False	188343
2019-05-17	False	396533
2020-05-06	False	4418182
2020-12-20	False	2660295
2020-01-06	True	3512952
2016-10-08	False	58843488
2017-09-07	False	762874
2018-10-10	False	2467304
2018-06-17	False	606637
2015-10-22	False	3122898
2016-12-05	False	366140
2014-02-17	False	37784
2016-06-24	True	149830
2015-02-18	False	972629
2017-10-26	False	91991358
2008-07-01	False	359420698
2015-08-15	False	19863
2015-10-21	True	287071
2016-03-14	True	1398630
2013-05-05	False	26892897
2015-10-19	False	234842089
2010-05-17	False	3619948
2020-12-21	False	1436435
2012-11-01	False	49038354
2016-09-01	False	33698126
2017-12-07	False	42317729
2014-04-22	False	1194597
2013-07-22	False	5915013
2020-09-28	False	77159696
2013-05-21	True	75383
2020-05-20	False	43491
2016-05-06	False	599080
2021-02-12	False	10585
2018-12-26	False	4155579
2020-04-02	False	263189
2017-08-28	False	711477622
2017-11-28	False	512311
2020-06-29	False	270069942
2019-05-07	False	41960
2021-01-20	False	1834006
2010-10-25	False	590954
2021-03-21	False	20949825
2015-10-01	False	2330382
2016-12-15	False	400260
2019-01-20	False	4227907
2018-04-02	False	110964206
2020-12-16	False	358822
2017-12-09	False	990919
2015-10-27	False	173891
2013-12-04	False	38108
2020-10-07	False	1906808
2019-07-01	False	4430115
2015-07-02	False	327314
2018-10-12	False	3225080
2015-07-28	False	657001
2014-08-08	False	116465
2016-10-01	False	830155
2014-07-01	False	709926
2018-05-16	False	36395491
2020-06-26	False	444453
2019-08-03	False	1277761
2015-09-25	False	3029184
2015-02-01	False	773670
2014-03-18	False	48592
2015-12-14	False	4907802
2014-03-01	False	91436280
2016-11-19	False	7445067
2021-01-31	False	938981
2018-08-06	False	149958
2016-09-06	False	7793570
2016-05-20	False	104977
2021-09-11	False	72596
2017-02-23	False	71153
2016-05-09	True	107303
2016-05-09	False	1052753
2018-09-18	False	2457420
2015-04-14	False	32939105
2015-07-12	False	281924
2017-01-09	False	780073
2020-09-17	False	20529819
2021-06-26	False	505466
2016-02-19	False	117070
2020-02-16	False	857611
2017-09-10	False	386489
2015-03-14	False	1410899
2019-06-13	False	184823
2018-11-03	False	14609
2019-12-30	False	751700
2011-06-02	False	37103
2015-07-16	False	130705
2015-10-07	False	30741620
2014-02-22	False	55622
2018-08-16	False	44109
2016-03-11	False	26815
2015-02-26	False	139395
2017-03-09	False	1619544
2019-07-26	False	6840339
2015-08-07	False	1047200
2020-02-14	False	48580249
2011-12-24	False	859777
2016-06-28	False	988230
2018-07-04	False	5187305
